59.959872	30.317243
51.657769	39.21572
59.943444	30.297291
59.923753	30.387257
59.829631	30.380116
59.950952	30.245737
59.907564	30.298845
59.90843	30.307316
59.928307	30.3473
59.930742	30.361413
59.865989	30.416345
59.936066	30.364233
59.938144	30.31488
59.883963	29.91239
59.928812	30.41197
59.933374	30.306741
59.933586	30.324267
59.970438	30.38617
59.896183	30.278381
60.006894	30.260119
59.876432	30.257514
59.850875	30.304801
59.940763	30.326271
59.942674	30.412051
59.852443	30.236367
59.920627	30.283358
59.953745	30.356463
59.928505	30.334571
59.965566	30.31214
59.935989	30.340024
59.852086	30.324609
59.892135	30.319749
59.999008	30.363865
59.922679	30.317746
59.932184	30.336736
59.962161	30.253875
59.92115	30.333376
59.937846	30.341668
59.959516	30.3458
59.937761	30.331795
59.934272	30.436323
59.892441	30.428418
59.946455	30.390159
59.949177	30.391345
59.939095	30.315868
59.976895	30.275516
59.939095	30.315868
59.936327	30.287841
59.868519	30.317099
59.967633	30.308349
59.841785	30.321905
59.943345	30.352474
59.87743	29.901646
59.917628	30.279271
59.937729	30.292754
59.939095	30.315868
60.003628	30.326917
60.022	30.40676
59.93447	30.303597
59.950258	30.314871
59.948487	30.385928
59.900588	30.273575
59.945324	30.330448
59.957124	30.310757
59.925453	30.298324
59.878157	29.914034
59.916866	30.30605
59.952042	30.324806
59.932265	30.291775
59.91789	30.289287
