название вуза	адрес общаги	Latitude	Longitude	адрес корпусов вуза	Latitude	Longitude
Санкт-Петербургский государственный университет	5 линия В.О., 66	59.948338, 	30.275649	Набережная Университетская, 7 	59.942418, 	30.293591
	8 линия В.О., 77	59.947163, 	30.270914	Набережная Университетская, 11 	59.939774, 	30.299453
	Шевченко 25, к2	59.936774,	30.244731	Линия Менделеевская линия, 5 	59.943450, 	30.298798
	Шевченко 25	59.936911, 	30.243135	Улица Ульяновская, 2 	59.884247	29.849155
	Кораблестроителей 20, к1	59.943198, 	30.212543	21-я линия В.О., 8 	59.932961	30.266324
	Кораблестроителей 20, к2	59.943422,	30.213154	10-я линия В.О., 33 	59.942803	30.272893
	Кораблестроителей 20, к3	59.943647, 	30.212524	 1-я линия В.О., 26 	59.942674, 	30.288793
	Капитанская 3	59.955286, 	30.216265	Переулок Декабристов, 16 	59.952854, 	30.248287
	Халтурина (Петергоф) 15, к2	59.882691, 	29.859463	Проспект Университетский, 28 	59.879151	29.830448
	Халтурина (Петергоф) 15, к1	59.882283, 	29.858736	Набережная Макарова, 6 	59.944639, 	30.299657
	Ботаническая (Петергоф) 64, к2	59.874935	29.830478	Улица Смольного, 1 	59.950608	30.396941
	Ботаническая (Петергоф) 64, к3	59.874935	29.830478	Улица Ульяновская, 3 	59.882287, 	29.822966
	Ботаническая (Петергоф) 64, к4 	59.874935	29.830478	Проспект Университетский, 26 	59.878439	29.836703
	Ботаническая (Петергоф) 66, к2 	59.87513	29.827742	Улица Чайковского, 62 	59.942692, 	30.364210
	Ботаническая (Петергоф) 66, к3	59.87513	29.827742	Линия 22-я линия В.О., 7 	59.934182, 	30.262368
	Ботаническая (Петергоф) 70, к1	59.875761, 	29.826200			
	Ботаническая (Петергоф) 66, к4	59.87513	29.827742			
	Ботаническая (Петергоф) 70, к2	59.875761, 	29.826200			
	Ботаническая (Петергоф) 70, к3	59.875761, 	29.826200			
	Ботаническая (Петергоф) 70, к4	59.875761, 	29.826200			
Санкт-Петербургский государственный политехнический университет	Лесной проспект, 65/1	59.986154, 	30.342231	ул. Политехническая, 29	60.007457	30.373046
	Лесной проспект, 65/3	59.986685, 	30.343197	Политехническая ул., 21, корп. 9	60.000551, 	30.366294
	Парголовская , 11/1	59.986197, 	30.345678	улица Хлопина, 9, корп. 2	59.999283, 	30.371829
	Парголовская ул., 11/2	59.986073	30.345685			
	Харченко ул., 16	59.986749, 	30.348029			
	Лесной проспект, 67/2	59.986819, 	30.341942			
	Кантемировская ул., 24	59.985615, 	30.344733			
	Хлопина ул., 9/2	59.999348, 	30.371926			
	Пр. Непокоренных, 6/2	59.998724, 	30.370281			
	Хлопина ул., 13/1	59.998875,	30.375866			
	Пр. Непокоренных, 8/2	59.998893, 	30.374324			
	Гражданский пр., 30	60.008637, 	30.391761			
	Гражданский пр., 28	60.007102, 	30.390469			
	Энгельса пр., 129, корпус 4	60.047584, 	30.334289			
Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики	переулок Вяземский, д.5-7	59.972865, 	30.301494	Переулок Гривцова, 14 	59.929383, 	30.315181
	Серебристый бульвар, д.29, корпус 1	60.011528, 	30.285427	Переулок Вяземский, 5 	59.972032, 	30.302098
	Альпийский переулок, д.15, к.2	59.851231, 	30.376767	Проспект Кронверкский, 49 	59.956304, 	30.309807
	ул.Белорусская, д.6	59.936505, 	30.500047	Песочная набережная, 14	59.972980, 	30.295007
	ул.Ленсовета, д. 23	59.848152, 	30.329407	улица Чайковского, 11	59.946400, 	30.345473
	Яковлевский переулок, д.7, к.1	59.873653,	30.325010	Биржевая линия, д. 14/16	59.944368, 	30.295081
	Новоизмайловский пр., д. 16	59.869657, 	30.308008			
Санкт-Петербургский государственный электротехнический университет "ЛЭТИ" им. В. И. Ульянова (Ленина)	1-й Муринский пр., д. 1	59.987372	30.330491	улица Профессора Попова, 5	59.971119, 	30.319917
	Студенческая ул., д. 3	59.985661, 	30.331207	улица Профессора Попова, 5к7	59.972517, 	30.322514
	Новоизмайловский пр., д. 16, к. 2 	59.870351, 	30.307544	улица Профессора Попова, 5к8	59.973029, 	30.322145
	наб. реки Карповки, д. 34	59.969692, 	30.299754	Инструментальная улица, 4	59.973826, 	30.323226
	 пр. Испытателей, д. 10	60.003688, 	30.287612			
	Торжковская ул., д. 15	59.991096, 	30.318611			
Первый Санкт-Петербургский государственный медицинский университет им. ак. И.П. Павлова Министерства здравоохранения РФ	Петроградский район, ул. Большая Монетная 34 	59.964008, 	30.328421	Улица Есенина, 22 	60.046121	30.336524
	Петроградский р-н, ул. Рентгена 10	59.966150, 	30.328797	Улица Льва Толстого, 6 	59.967728, 	30.322427
	Фрунзенский район, ул. Бухарестская 148	59.831580, 	30.421651	Улица Льва Толстого, 13 	59.965015, 	30.317432
	Приморский район, ул. Маршала Новикова 15 корп.2	60.015540, 	30.272564			
Национальный минерально-сырьевой университет «Горный"	Малый проспект В.О., дом 38-40	59.944397, 	30.265789	Санкт-Петербург, 21-я линия В.О., д.2-4/45	59.930109	30.26906
	улица Шкиперский проток, дом 5	59.934261, 	30.242128	Санкт-Петербург, Средний проспект В.О., д.82	59.936240, 	30.257538
	улица Наличная, дом 46, корпус 1	59.953002, 	30.232809	Санкт-Петербург, Малая Охта, ул. Казанская улица, д.3, литера А	59.924377, 	30.426434
	Морская набережная, дом 15, корпус 3	59.941696, 	30.209607	Кронштадт, Якорная пл., д. 1, лит. А	59.991589, 	29.778043
	улица Кирочная, дом 56	59.942875, 	30.380817	Санкт-Петербург, Миллионная ул., д. 5, литера А,	59.945275, 	30.328520
	улица Наличная, дом 28/16	59.941308, 	30.231105	Санкт-Петербург, 4-линия В.О., д. 15, литера А, Б	59.941467	30.28769
Северо-Западный государственный медицинский университет им. И.И.Мечникова Министерства здравоохранения РФ	пр. Просвещения, д. 45	60.045417, 	30.367961	Пискаревский проспект, д.47	59.98073	30.428987
	пр-т Светлановский д.62/2	60.038075, 	30.394657			
	пр-т Пискаревский 47/45	59.980831, 	30.427532			
Российский государственный педагогический университет им. А. И. Герцена	 Лиговский пр., д. 275	59.904255, 	30.341366	Улица Посадская Малая, 26 	59.957663, 	30.327139
	Пр. Стачек, д. 30	59.888611, 	30.273368	Проспект Стачек, 30 	59.888746, 	30.272864
	 Новоизмайловский пр., д.5	59.873665, 	30.302856	Набережная Мойки реки, 48 	59.935261, 	30.319747
	Наб. р. Мойки, 48, кор. 7	59.935283, 	30.319779	Проспект Московский, 80 	59.905208, 	30.320405
	Ул. Казанская, д. 6	59.933004, 	30.322587	Переулок Каховского, 2 	59.951602, 	30.242882
				Проспект Вознесенский, 39 	59.923445, 	30.307699
				Проспект Лиговский, 275 	59.904249, 	30.341344
				Линия 1-я линия В.О., 52 	59.946445, 	30.284386
Санкт-Петербургский государственный экономический университет	Новоизмайловский пр., д.16, к2	59.870283	30.307726	7-я Красноармейская улица, 6/8	59.911452, 	30.317019
	Лесной пр-т, д. 65	59.987236	30.347255	Улица Большая Морская, 8	59.936874, 	30.318154
	Чкаловский пр., д. 27	59.965896, 	30.299124	Улица Садовая 21	59.931240, 	30.326503
	пр.Косыгина, д. 19/2	59.944033, 	30.481959	Улица Жукова, 9	59.965180, 	30.395867
	Воронежская ул., д. 69	59.909899, 	30.342808	Апраксин переулок, 13	59.927746, 	30.326632
	Воронежская ул., д. 38	59.914631, 	30.347985	улица Моховая, 40	59.939545, 	30.345351
	Рабфаковская ул., д. 3	59.857312, 	30.475276	улица Чехова, 6	59.937223, 	30.352407
				улица Седова, 15	59.896541, 	30.408276
				улица Седова 55/1	59.881001, 	30.425127
				Прилукская улица, 3	59.910395, 	30.341682
				улица Бухарестская 24/1	59.886038, 	30.366071
				улица Прогонная, 7	59.850741, 	30.474783
				улица Помяловского, 2	59.938580, 	30.406329
				Московский проспект, 103 А	59.891696, 	30.315782
				Ковалергардская улица, 7	59.945037, 	30.383040
				набережная Канала Грибоедова, 34	59.931065	30.322174
				Москательный переулок, 4	59.930500, 	30.323167
Санкт-Петербургский университет аэрокосмического приборостроения	 проспект Маршала Жукова, 24	59.860366, 	30.235451	Улица Морская Большая, 67 	59.929408, 	30.296505
	улица Передовиков, 13	59.941459, 	30.466998	Улица Гастелло, 15 	59.857363, 	30.327769
	 улица Варшавская, 8	59.877941, 	30.313705	Улица Якубовича, 26 	59.931021, 	30.294995
	 Кузнецовская, 9	59.871292, 	30.308359			
Санкт-Петербургский государственный технологический институт (технический университет)	ул. Здоровцева, дом 14,	59.837889, 	30.162805	Санкт-Петербург, Московский проспект дом 26	59.918316, 	30.318250
	ул. Здоровцева, дом 12	59.838533, 	30.163141	Санкт-Петербург, ул.7-я Красноармейская д.6-8	59.911116, 	30.315996
	ул. Пионерстроя, дом 14, кор.3 	59.838330, 	30.134027			
	Яковлевский пер., дом 8	59.873294, 	30.324312			
	ул. Трефолева, дом 1	59.886867, 	30.288073			
	ул. Стойкости, дом 21	59.828023, 	30.208260			
