lat	lng	type	id	name
60.050183	30.442845	метро	1	Девяткино
60.034856	30.418213	метро	2	Гражданский проспект
60.012696	30.396007	метро	3	Академическая
60.008842	30.370854	метро	4	Политехническая
59.999971	30.366362	метро	5	Площадь Мужества
59.984719	30.344237	метро	6	Лесная
59.970925	30.347408	метро	7	Выборгская
59.955611	30.35605	метро	8	Площадь Ленина
59.944436	30.359975	метро	9	Чернышевская
59.931517	30.360559	метро	10	Площадь Восстания
59.927464	30.348172	метро	11	Владимирская
59.920614	30.329864	метро	12	Пушкинская
59.916437	30.318824	метро	13	Технологический институт
59.907149	30.299564	метро	14	Балтийская
59.901111	30.275004	метро	15	Нарвская
59.879638	30.26196	метро	16	Кировский завод
59.867213	30.26143	метро	17	Автово
59.851774	30.268428	метро	18	Ленинский проспект
59.84211	30.250588	метро	19	Проспект Ветеранов
60.06685	30.333996	метро	20	Парнас
60.051365	30.332433	метро	21	Проспект Просвещения
60.037027	30.321734	метро	22	Озерки
60.016604	30.315823	метро	23	Удельная
60.002427	30.296617	метро	24	Пионерская
59.985377	30.300902	метро	25	Чёрная речка
59.966394	30.311502	метро	26	Петроградская
59.956057	30.318904	метро	27	Горьковская
59.935421	30.327052	метро	28	Невский проспект
59.926972	30.320458	метро	29	Сенная площадь
59.916437	30.318824	метро	30	Технологический институт
59.906179	30.31753	метро	31	Фрунзенская
59.891494	30.31797	метро	32	Московские ворота
59.879109	30.318707	метро	33	Электросила
59.866269	30.321887	метро	34	Парк Победы
59.848873	30.321483	метро	35	Московская
59.833127	30.349438	метро	36	Звёздная
59.829328	30.375588	метро	37	Купчино
59.948456	30.234633	метро	38	Приморская
59.942516	30.278274	метро	39	Василеостровская
59.933938	30.333745	метро	40	Гостиный двор
59.931427	30.355178	метро	41	Маяковская
59.924253	30.385299	метро	42	Площадь Александра
Невского-1"				
59.896644	30.423774	метро	43	Елизаровская
59.877253	30.441812	метро	44	Ломоносовская
59.865122	30.470315	метро	45	Пролетарская
59.84861	30.457811	метро	46	Обухово
59.830829	30.500436	метро	47	Рыбацкое
59.926575	30.319839	метро	48	Спасская
59.928185	30.346204	метро	49	Достоевская
59.920745	30.35516	метро	50	Лиговский проспект
59.924253	30.385299	метро	51	Площадь Александра Невского-2
59.928893	30.411925	метро	52	Новочеркасская
59.932378	30.439351	метро	53	Ладожская
59.919775	30.466839	метро	54	Проспект Большевиков
59.907334	30.483413	метро	55	Улица Дыбенко
60.008428	30.259077	метро	56	Комендантский проспект
59.989238	30.255178	метро	57	Старая Деревня
59.971708	30.259481	метро	58	Крестовский остров
59.961138	30.292018	метро	59	Чкаловская
59.951772	30.290688	метро	60	Спортивная
59.935867	30.31523	метро	61	Адмиралтейская
59.926413	30.318285	метро	62	Садовая
59.922282	30.335631	метро	63	Звенигородская
59.914583	30.349636	метро	64	Обводный канал
59.895971	30.358026	метро	65	Волковская
59.883769	30.368932	метро	66	Бухарестская
59.870203	30.379289	метро	67	Международная
