Name	Description	Adress	Lat	Lon
СПБГУ	Учебный Корпус	Набережная Университетская, 7	59.942418	30.293591
СПБГУ	Учебный Корпус	Набережная Университетская, 11	59.939774	30.299453
СПБГУ	Учебный Корпус	Линия Менделеевская линия, 5	59.943450	30.298798
СПБГУ	Учебный Корпус	Улица Ульяновская, 2	59.884247	29.849155
СПБГУ	Учебный Корпус	21-я линия В.О., 8	59.932961	30.266324
СПБГУ	Учебный Корпус	10-я линия В.О., 33	59.942803	30.272893
СПБГУ	Учебный Корпус	1-я линия В.О., 26	59.942674	30.288793
СПБГУ	Учебный Корпус	Переулок Декабристов, 16	59.952854	30.248287
СПБГУ	Учебный Корпус	Проспект Университетский, 28	59.879151	29.830448
СПБГУ	Учебный Корпус	Набережная Макарова, 6	59.944639	30.299657
СПБГУ	Учебный Корпус	Улица Смольного, 1	59.950608	30.396941
СПБГУ	Учебный Корпус	Улица Ульяновская, 3	59.882287	29.822966
СПБГУ	Учебный Корпус	Проспект Университетский, 26	59.878439	29.836703
СПБГУ	Учебный Корпус	Улица Чайковского, 62	59.942692	30.364210
СПБГУ	Учебный Корпус	Линия 22-я линия В.О., 7	59.934182	30.262368
СПБГПУ (Политех)	Учебный корпус	Лесной проспект, 65/1	59.986154	30.342231
СПБГПУ (Политех)	Учебный корпус	Лесной проспект, 65/3	59.986685	30.343197
СПБГПУ (Политех)	Учебный корпус	Парголовская , 11/1	59.986197	30.345678
СПБГПУ (Политех)	Учебный корпус	Парголовская ул., 11/2	59.986073	30.345685
СПБГПУ (Политех)	Учебный корпус	Харченко ул., 16	59.986749	30.348029
СПБГПУ (Политех)	Учебный корпус	Лесной проспект, 67/2	59.986819	30.341942
СПБГПУ (Политех)	Учебный корпус	Кантемировская ул., 24	59.985615	30.344733
СПБГПУ (Политех)	Учебный корпус	Хлопина ул., 9/2	59.999348	30.371926
СПБГПУ (Политех)	Учебный корпус	Пр. Непокоренных, 6/2	59.998724	30.370281
СПБГПУ (Политех)	Учебный корпус	Хлопина ул., 13/1	59.998875	30.375866
СПБГПУ (Политех)	Учебный корпус	Пр. Непокоренных, 8/2	59.998893	30.374324
СПБГПУ (Политех)	Учебный корпус	Гражданский пр., 30	60.008637	30.391761
СПБГПУ (Политех)	Учебный корпус	Гражданский пр., 28	60.007102	30.390469
СПБГПУ (Политех)	Учебный корпус	Энгельса пр., 129, корпус 4	60.047584	30.334289
СПБ НИУ ИТМО	Учебный корпус	Переулок Гривцова, 14	59.929383	30.315181
СПБ НИУ ИТМО	Учебный корпус	Переулок Вяземский, 5	59.972032	30.302098
СПБ НИУ ИТМО	Учебный корпус	Проспект Кронверкский, 49	59.956304	30.309807
СПБ НИУ ИТМО	Учебный корпус	Песочная набережная, 14	59.972980	30.295007
СПБ НИУ ИТМО	Учебный корпус	улица Чайковского, 11	59.946400	30.345473
СПБ НИУ ИТМО	Учебный корпус	Биржевая линия, д. 14/16	59.944368	30.295081
СПБ ГЭУ ЛЭТИ	Учебный корпус	улица Профессора Попова, 5	59.971119	30.319917
СПБ ГЭУ ЛЭТИ	Учебный корпус	улица Профессора Попова, 5к7	59.972517	30.322514
СПБ ГЭУ ЛЭТИ	Учебный корпус	улица Профессора Попова, 5к8	59.973029	30.322145
СПБ ГЭУ ЛЭТИ	Учебный корпус	Инструментальная улица, 4	59.973826	30.323226
СПБ ГМУ им Павлова	Учебный корпус	Улица Есенина, 22	60.046121	30.336524
СПБ ГМУ им Павлова	Учебный корпус	Улица Льва Толстого, 6	59.967728	30.322427
СПБ ГМУ им Павлова	Учебный корпус	Улица Льва Толстого, 13	59.965015	30.317432
ГОРНЫЙ 	Учебный корпус	Санкт-Петербург, 21-я линия В.О., д.2-4/45	59.930109	30.26906
ГОРНЫЙ 	Учебный корпус	Санкт-Петербург, Средний проспект В.О., д.82	59.936240	30.257538
ГОРНЫЙ 	Учебный корпус	Санкт-Петербург, Малая Охта, ул. Казанская улица, д.3, литера А	59.924377	30.426434
ГОРНЫЙ 	Учебный корпус	Кронштадт, Якорная пл., д. 1, лит. А	59.991589	29.778043
ГОРНЫЙ 	Учебный корпус	Санкт-Петербург, Миллионная ул., д. 5, литера А,	59.945275	30.328520
ГОРНЫЙ 	Учебный корпус	Санкт-Петербург, 4-линия В.О., д. 15, литера А, Б	59.941467	30.28769
СЗ ГМУ им Мечникова	Учебный корпус	Пискаревский проспект, д.47	59.98073	30.428987
РГПУ им Герцена	Учебный корпус	Улица Посадская Малая, 26	59.957663	30.327139
РГПУ им Герцена	Учебный корпус	Проспект Стачек, 30	59.888746	30.272864
РГПУ им Герцена	Учебный корпус	Набережная Мойки реки, 48	59.935261	30.319747
РГПУ им Герцена	Учебный корпус	Проспект Московский, 80	59.905208	30.320405
РГПУ им Герцена	Учебный корпус	Переулок Каховского, 2	59.951602	30.242882
РГПУ им Герцена	Учебный корпус	Проспект Вознесенский, 39	59.923445	30.307699
РГПУ им Герцена	Учебный корпус	Проспект Лиговский, 275	59.904249	30.341344
РГПУ им Герцена	Учебный корпус	Линия 1-я линия В.О., 52	59.946445	30.284386
СПБГЭУ	Учебный корпус	7-я Красноармейская улица, 6/8	59.911452	30.317019
СПБГЭУ	Учебный корпус	Улица Большая Морская, 8	59.936874	30.318154
СПБГЭУ	Учебный корпус	Улица Садовая 21	59.931240	30.326503
СПБГЭУ	Учебный корпус	Улица Жукова, 9	59.965180	30.395867
СПБГЭУ	Учебный корпус	Апраксин переулок, 13	59.927746	30.326632
СПБГЭУ	Учебный корпус	улица Моховая, 40	59.939545	30.345351
СПБГЭУ	Учебный корпус	улица Чехова, 6	59.937223	30.352407
СПБГЭУ	Учебный корпус	улица Седова, 15	59.896541	30.408276
СПБГЭУ	Учебный корпус	улица Седова 55/1	59.881001	30.425127
СПБГЭУ	Учебный корпус	Прилукская улица, 3	59.910395	30.341682
СПБГЭУ	Учебный корпус	улица Бухарестская 24/1	59.886038	30.366071
СПБГЭУ	Учебный корпус	улица Прогонная, 7	59.850741	30.474783
СПБГЭУ	Учебный корпус	улица Помяловского, 2	59.938580	30.406329
СПБГЭУ	Учебный корпус	Московский проспект, 103 А	59.891696	30.315782
СПБГЭУ	Учебный корпус	Ковалергардская улица, 7	59.945037	30.383040
СПБГЭУ	Учебный корпус	набережная Канала Грибоедова, 34	59.931065	30.322174
СПБГЭУ	Учебный корпус	Москательный переулок, 4	59.930500	30.323167
СПБ ГУАП	Учебный корпус	Улица Морская Большая, 67	59.929408	30.296505
СПБ ГУАП	Учебный корпус	Улица Гастелло, 15	59.857363	30.327769
СПБ ГУАП	Учебный корпус	Улица Якубовича, 26	59.931021	30.294995
СПБ ГТИ	Учебный корпус	Санкт-Петербург, Московский проспект дом 26	59.918316	30.318250
СПБ ГТИ	Учебный корпус	Санкт-Петербург, ул.7-я Красноармейская д.6-8	59.911116	30.315996
